事業所名,事業種別,事業内容,事業所所在地,電話番号,PR,adress,lon,lat
（株）オートショップあ・ら・もーど,小売業,オートバイ販売・修理,大島2692,042-761-9595,NA,神奈川県相模原市緑区大島2692,139.3236834,35.5657118
相模原市農業協同組合 大沢支店,小売業,NA,大島1785,042-761-3441,NA,神奈川県相模原市緑区大島1785,139.3267334,35.5756888
（株）佐藤工務店,その他,大工工事　エクステリア工事　住宅設備販売　不動産,大島1745-5,042-761-7799,"新築工事、増改築工事、各種リフォーム工事、エクス
テリア工事等承ります。
お気軽にお問い合わせください。",神奈川県相模原市緑区大島1745-5,139.3254539,35.574671
セブンイレブン相模原大島団地店,小売業,NA,大島165-1,042-760-8079,NA,神奈川県相模原市緑区大島165-1,139.3136775,35.5873415
セブンイレブン相模原大島店,小売業,コンビニエンスストア,大島3052‐1,042-761-2012,NA,神奈川県相模原市緑区大島3052‐1,139.3205719,35.5710478
セブンイレブン相模原大島南店,小売業,コンビニ,大島2307-1,042-760-1030,NA,神奈川県相模原市緑区大島2307-1,139.3249374,35.5646228
セブンイレブン相模原上大島店,小売業,コンビニエンスストア,大島361‐１,042-763-2880,NA,神奈川県相模原市緑区大島361‐１,139.3115407,35.5824142
デイリーヤマザキ大島団地店,小売業,コンビニエンスストア,大島11-109,042-761-9021,NA,神奈川県相模原市緑区大島11-109,139.3139784,35.5869726
ときわや酒店,小売業,酒類（日本酒・本格焼酎）・駄菓子販売,大島2762,042-761-9401,ポイントカードのポイント2倍,神奈川県相模原市緑区大島2762,139.3218646,35.5683077
美容室サトウ,サービス業,NA,大島1798-3,042-760-2851,NA,神奈川県相模原市緑区大島1798-3,139.3268408,35.5752803
（有）ヒラモト,小売業,LPガス、ガス器具販売,大島1292,042-761-9301,NA,神奈川県相模原市緑区大島1292,139.315733,35.5815097
ヘアースタジオ ミカミ,サービス業,理容室,大島2764-1,042-761-9812,予約制です,神奈川県相模原市緑区大島2764-1,139.3216431,35.5687313
ACADEMIAくまざわ書店橋本店,小売業,NA,大山町1-22アリオ橋本1F,042-700-7020,NA,神奈川県相模原市緑区大山町1-22アリオ橋本1F,139.349718,35.591149
auショップアリオ橋本,小売業,"au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。",大山町1－22アリオ橋本2階,042-700-0750,"アリオ橋本の2階にございます。 
au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。",神奈川県相模原市緑区大山町1－22アリオ橋本2階,139.349718,35.591149
axes femmeアリオ橋本,小売業,婦人服の販売,大山町1-22アリオ橋本2F,042-703-0801,NA,神奈川県相模原市緑区大山町1-22アリオ橋本2F,139.349718,35.591149
CHELSEA New York,小売業,流行りのアイテムを取り揃えている雑貨屋です。,大山町1-22アリオ橋本1F,042-703-5138,NA,神奈川県相模原市緑区大山町1-22アリオ橋本1F,139.349718,35.591149
UQスポットアリオ橋本,小売業,"au/UQの携帯電話の販売や料金プラン相談、故障相
談などアフターフォローまで行っております。インター
ネット（auひかり）のお申し込みも頂けます。",大山町1－22アリオ橋本2階,042-775-6531,"UQだけでなくauの携帯電話の販売や料金プラン相
談、故障相談などどもおこなっております。料金をお安
くされたい方は一度店頭までご相談ください。",神奈川県相模原市緑区大山町1－22アリオ橋本2階,139.349718,35.591149
真田石油販売（株）,小売業,ガソリンスタンド,大山町11-4,042-772-6424,NA,神奈川県相模原市緑区大山町11-4,139.3459826,35.5859583
サンクゼール・久世福商店アリオ橋本店,小売業,"日本全国の美味しいものを集めたセレクトショップで
す。",大山町1-22,042-773-0765,"人気のしゃけしゃけめんたいを是非一度お試し下さ
い。",神奈川県相模原市緑区大山町1-22,139.3497693,35.5910203
セブンイレブンアリオ橋本店,小売業,コンビニエンスストア,大山町1-22,042-770-7811,NA,神奈川県相模原市緑区大山町1-22,139.3497693,35.5910203
ダイワサイクルSTYLE　アリオ橋本店,小売業,自転車の販売・修理,大山町1-22,042-700-1238,NA,神奈川県相模原市緑区大山町1-22,139.3497693,35.5910203
ノジマ アリオ橋本店,小売業,家電量販店,大山町1-22アリオ橋本2F,042-775-8531,"家電やスマホ選びなどから修理まで、メーカー販売員
のいない唯一の家電専門店です。お客様のライフスタ
イルやお困りごとから最適な製品やサービスをおすす
めします。",神奈川県相模原市緑区大山町1-22アリオ橋本2F,139.349718,35.591149
ミスタードーナツアリオ橋本ショップ,飲食業,NA,大山町1-22,042-770-2070,NA,神奈川県相模原市緑区大山町1-22,139.3497693,35.5910203
Hillock,その他,"カルチャー教室、木材、材料、小物などの販売をして
います。",小倉358-12,090-4717-6471 期間中割引券配布中,NA,神奈川県相模原市緑区小倉358-12,139.2958876,35.5843918
セブンイレブン相模原城山小倉前店,小売業,コンビニエンスストア,小倉409-4,042-782-2044,NA,神奈川県相模原市緑区小倉409-4,139.2979869,35.5832652
事業所（店舗等）名,"事業種別
事業内容",NA,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市緑区事業所所在地,139.1828385,35.5781751
（有）高尾屋本店,小売業,和菓子製造販売,元橋本町3ー28,042-772-2041,NA,神奈川県相模原市緑区元橋本町3ー28,139.3411555,35.6037109
セブンイレブン神奈川藤野町店,小売業,NA,吉野241,042-687-4301,NA,神奈川県相模原市緑区吉野241,139.1695276,35.6143736
"藤野商事（株）出光昭和シェルニュー相模湖
S.S.",小売業,ガソリンスタンド,吉野299-1,042-687-2133,NA,神奈川県相模原市緑区吉野299-1,139.1668662,35.6137312
旅館陣谷温泉,サービス業,旅館業,吉野1806,042-687-2363,ワンドリンクサービス,神奈川県相模原市緑区吉野1806,139.1599503,35.6355043
石井モーターサービス,サービス業,自動車販売整備業,与瀬2286,042-685-0856,NA,神奈川県相模原市緑区与瀬2286,139.1774023,35.6219954
（株）エコナノクラブ,小売業,一般家庭用洗剤、除菌剤、アルコール製剤,与瀬269番地,042-684-4729,NA,神奈川県相模原市緑区与瀬269番地,139.1929016,35.6140881
大塚プロパン商会,小売業,燃料販売,与瀬669,042-685-0300,NA,神奈川県相模原市緑区与瀬669,139.1811241,35.6195068
かずえ美容室,サービス業,美容一般,与瀬1323-2,042-684-2255,NA,神奈川県相模原市緑区与瀬1323-2,139.1851613,35.6179305
相模湖観光案内所,サービス業,相模湖近辺の観光案内及び地元産品の販売,与瀬1183,042-649-0661,NA,神奈川県相模原市緑区与瀬1183,139.1897625,35.616846
（有）相模湖橋本新聞店,小売業,旧相模湖町地区を受け持つ新聞販売店です。,与瀬1308,042-685-0606,旧相模湖町地区を受け持つ新聞販売店です。,神奈川県相模原市緑区与瀬1308,139.1870865,35.6174544
（一社）さがみ湖 森・モノづくり研究所,小売業,"地域材で製作した木工品や家具などを販売していま
す。",与瀬269番地,042-649-0422,NA,神奈川県相模原市緑区与瀬269番地,139.1929016,35.6140881
セブンイレブン相模湖インター店,小売業,食料品や雑貨を販売しています。,与瀬714,042-684-5857,NA,神奈川県相模原市緑区与瀬714,139.1836902,35.6176937
タック,小売業,電気製品販売・電気工事,与瀬1305-2,042-685-0883,NA,神奈川県相模原市緑区与瀬1305-2,139.1873882,35.6171672
ミツイヤ,小売業,"靴・雑貨　販売
クリーニング　取次",与瀬848,042-684-3128,"る お
紳士・婦人・子供の靴や靴下・スリッパなどの雑貨もあ
店です!!",神奈川県相模原市緑区与瀬848,139.188007,35.61642500000001
渡辺機械起業（有）,サービス業,自動車整備業,与瀬694,042-685-0700,来店時ドリンクサービス,神奈川県相模原市緑区与瀬694,139.1832931,35.6176932
JA神奈川つくい 相模湖支店,小売業,NA,与瀬本町3,042-684-2525,NA,神奈川県相模原市緑区与瀬本町3,139.1886507,35.61679549999999
(有)いかりや,小売業,おみやげ、菓子類等の販売,与瀬本町13,042-684-2110,NA,神奈川県相模原市緑区与瀬本町13,139.1895355,35.6166875
いかりやレストラン デミタス,飲食業,レストラン,与瀬本町13,042-684-2536,NA,神奈川県相模原市緑区与瀬本町13,139.1895355,35.6166875
魚春,小売業,魚介類・野菜・肉の販売,与瀬本町47,042-684-2111,NA,神奈川県相模原市緑区与瀬本町47,139.1889003,35.6160851
すみれ美容室,サービス業,美容一般,与瀬本町5,042-685-1266,NA,神奈川県相模原市緑区与瀬本町5,139.1885598,35.6164995
（株）トラベルサーティーナイン,サービス業,"旅行業手配全般
旅行手配に関するすべての手配予約",与瀬本町50-2F,042-682-6339,"旅行手配の見積無料など詳しい資料の無料提供やア
ドバイスを
致します。",神奈川県相模原市緑区与瀬本町50-2F,139.1885123,35.6157214
中村電気商会,小売業/その他,家電販売、修理、電気工事,与瀬本町48,042-684-3123,NA,神奈川県相模原市緑区与瀬本町48,139.1888508,35.61612
（有）橋本薬局,小売業,NA,与瀬本町12,042-685-1331,NA,神奈川県相模原市緑区与瀬本町12,139.1892241,35.6166907
（株）前田モータース,"小売業/サービス
業","自動車整備・車検や新車・中古車の販売をしていま
す。",与瀬本町46,042-684-2631,"車検・点検時、オイル交換無料です。車検時、持込み
割引き等の各種割引きあります。",神奈川県相模原市緑区与瀬本町46,139.1888781,35.6158799
（株）桝屋商店,小売業,食品、酒、雑貨など販売しています。,与瀬本町15,042-684-3112,"当店は、お米の精米をしています。
新米を取り揃えて　お待ちしています。",神奈川県相模原市緑区与瀬本町15,139.1894604,35.6164278
丸井洋品店,小売業,お買い得ファッションを売っています,与瀬本町12,042-684-2040,NA,神奈川県相模原市緑区与瀬本町12,139.1892241,35.6166907
（名）山本商会（山本金物店）,小売業,"家庭金物、建築金物、セトモノ、打刃物、雑貨、外構工
事等",与瀬本町8,042-685-1313,NA,神奈川県相模原市緑区与瀬本町8,139.1887496,35.6164253
鶏料理 壽屋,飲食業,"金・土・日曜日の週3日のみの営業。 
三十年間精肉店を営んだ店主が、経験・知識を活かし
鶏料理・焼き鳥をメインにした居酒屋にDIY改装。おか
げさまで15年、変わらぬ味を提供させていただいてお
ります。",若葉台4-1-3,042-782-4649,"ランチ：11時～14時／定食メニュー：昔ながらのメンチ
・みぞれ　がご好評いただいております。 
夜：17時～22時／熟成風味鶏の焼き鳥・鍋料理など。 
満席の場合がございます。お電話にてご確認ください",神奈川県相模原市緑区若葉台4-1-3,139.2936493,35.5957977
JA神奈川つくい 内郷支店,小売業,NA,若柳989,042-685-0211,NA,神奈川県相模原市緑区若柳989,139.2165638,35.6003191
（有）MBオート 相模湖店,サービス業,自動車整備・板金塗装,若柳1384-2,042-689-6982,NA,神奈川県相模原市緑区若柳1384-2,139.2101269,35.6003237
PICAさがみ湖,サービス業,"「さがみ湖リゾート プレジャーフォレスト」内にある、都
心からすぐのファミリーに人気のキャンプ場です。",若柳1634,055-530-4580,NA,神奈川県相模原市緑区若柳1634,139.2011658,35.6048198
PICAさがみ湖ワイルドクッキングガーデン,飲食業,"自然の中で開放的なバーベキューが楽しめます！景
色を楽しみながら、ワイルドにお食事をお楽しみくださ
い。",若柳1634,042-685-0818,NA,神奈川県相模原市緑区若柳1634,139.2011658,35.6048198
事業所（店舗等）名,"事業種別
事業内容",NA,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市緑区事業所所在地,139.1828385,35.5781751
（有）東屋商店,小売業,石油類、LPガス等の販売,若柳1118,042-685-0421,NA,神奈川県相模原市緑区若柳1118,139.21533,35.6001398
キムチハウス,小売業/飲食業,キムチ製造販売　レストラン,若柳642-6,042-685-0488,NA,神奈川県相模原市緑区若柳642-6,139.2219343,35.6059498
さがみ湖温泉うるり,サービス業,"「さがみ湖温泉 うるり」は、相模湖の森に囲まれた高
台に建つ日帰り温浴施設です。※「さがみ湖リゾート 
プレジャーフォレスト」敷地内にございます。",若柳1634,042-685-2641,NA,神奈川県相模原市緑区若柳1634,139.2011658,35.6048198
さがみ湖リゾート プレジャーフォレスト,サービス業,遊園地を営業しております。,若柳1634,057-003-7353,NA,神奈川県相模原市緑区若柳1634,139.2011658,35.6048198
山賊ベイビーズ,飲食業,"ジビエ(野生動物のお肉)のキッチンカーです^ ^ 土日
祝日(雨天閉店)、宮ヶ瀬湖「ふれあいの館」前にて営
業中！",若柳163-5,070-4817-4836,"鹿肉肉まん(400円)、鹿肉しゅうまい(100円)、猪肉コ
ロッケ(200円)等、気軽にジビエをお楽しみ下さい♪",神奈川県相模原市緑区若柳163-5,139.2029467,35.6145154
ダヤンのお店,小売業,革製品、その他雑貨,若柳47-1,042-684-4664,NA,神奈川県相模原市緑区若柳47-1,139.2022218,35.617123
つばめ観光バス（株）本社営業所,その他,"一般貸切旅客自動車運送事業、国内旅行業を営んで
おり 
貸切マイクロバス27人乗り、貸切小型観光バス25人
乗り、貸切中型観光バス27人乗り、貸切大型観光バ
ス53人乗り、60人乗り等、バス旅行をご提供。",若柳1476番地1号,042-685-1307,"ご旅行見積無料。10名様以上のグループ旅行で当社
貸切バスのご利用と、当社提携の宿泊施設をセットで
ご利用いただいた場合は缶ビール350㎖を1ケース
(24本入り)サービスで積込させていただきます。",神奈川県相模原市緑区若柳1476番地1号,139.2064372,35.6003265
所谷電気,小売業,家電販売修理,若柳886-3,042-685-2388,NA,神奈川県相模原市緑区若柳886-3,139.2177782,35.6027978
美容室リバティー,サービス業,カット、パーマ、カラー、着付,若柳1511-45,042-685-3108,NA,神奈川県相模原市緑区若柳1511-45,139.2044496,35.6013807
ファミリーマート相模原若柳店,小売業,コンビニエンスストア,若柳1413-7,042-683-6012,NA,神奈川県相模原市緑区若柳1413-7,139.2117189,35.5993414
（有）山口商会,サービス業,自動車整備・新車、中古車販売,若柳974-1,042-685-0006,見積無料、ご入庫時粗品進呈,神奈川県相模原市緑区若柳974-1,139.2171473,35.6003163
事業所（店舗等）名,"事業種別
事業内容",NA,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市緑区事業所所在地,139.1828385,35.5781751
壽堂,飲食業,"【酒まんじゅう】・【生あまさけ】　製造販売
お持ち帰り（お土産）のほか、出来立ての温かい酒ま
んじゅうを
食べれる《古民家風カフェ》併設しております。
冷たい《生あまさけ》好評販売中です。",小原668,042-684-9013,"期間中、当店ご利用のお客様に、カフェコーナーで次
回使用できる割引券の配布。",神奈川県相模原市緑区小原668,139.1987544,35.621086
（株）ナガイ,小売業,"LPガス、灯油、燃料販売。
ガス給湯器、石油給湯器、エコキュート　修理販売。
システムキッチン、システムバス、トイレなどの水廻り
リフォーム",小原668,042-684-3048,"御見積り無料。
期間中、ガス器具、各種給湯器ご購入のお客様へ特
典あり。",神奈川県相模原市緑区小原668,139.1987544,35.621086
BLUE,サービス業,"理容業 パーマ ヘッドスパ エステ 
AGA商品 エイジングケア商品",小渕2268-1,042-687-5237,NA,神奈川県相模原市緑区小渕2268-1,139.1542503,35.6151553
JA神奈川つくい 藤野支店,小売業,NA,小渕1687-4,042-687-4511,NA,神奈川県相模原市緑区小渕1687-4,139.1534744,35.6153986
梶原美容院,サービス業,美容室,小渕2268-6,042-687-4747,NA,神奈川県相模原市緑区小渕2268-6,139.1541119,35.6151879
のざき薬局,小売業,保険調剤、健康補助食品・化粧品販売,小渕1707,042-687-5115,NA,神奈川県相模原市緑区小渕1707,139.1522942,35.6155324
（有）原田電気商会,小売業,電気器具販売及び修理,小渕2179-11,042-687-3870,NA,神奈川県相模原市緑区小渕2179-11,139.1632116,35.6130848
美容オオツカ,サービス業,NA,小渕1727-3,042-687-2338,NA,神奈川県相模原市緑区小渕1727-3,139.1505845,35.6160155
フードストア藤田屋,小売業,藤野ゆず特産品他食料品の販売,小渕1862,042-687-2456,NA,神奈川県相模原市緑区小渕1862,139.1535779,35.615044
藤野観光案内所「ふじのね」,小売業,"緑区藤野地区の観光案内をするとともに、同地区の
特産品及び同地区在住のアーティストの作品を展示・
販売している。",小渕1702-3,042-687-5581,NA,神奈川県相模原市緑区小渕1702-3,139.1522096,35.6158231
松喜屋商店,小売業,"洗剤等の日用品雑貨と調味料、菓子類、アイスクリー
ム、駄菓子等の食品を販売しています。",小渕2114,042-687-3034,NA,神奈川県相模原市緑区小渕2114,139.1597836,35.6139592
焼肉のいちばん,飲食業,焼肉,小渕1707-1,042-687-6429,NA,神奈川県相模原市緑区小渕1707-1,139.1524893,35.6152077
レストラン風里,飲食業,ＪＲ藤野駅前のレストランです。,小渕1705,042-687-5753,ＪＲ藤野駅前のレストランです。,神奈川県相模原市緑区小渕1705,139.1522168,35.6151509
MTサロン 橋本南店,サービス業,"MTメタトロン化粧品正規取り扱い店　肌質改善フェイ
シャルサロン",上九沢277,042-738-7277,"超音波洗浄初回体験特別価格¥1,100（税込）",神奈川県相模原市緑区上九沢277,139.3304232,35.5782969
（有）キャンディー,小売業,"家電、水回り機器、健康機器、電気工事、設備工事が
できる（CAN）Denkiyaです。",上九沢127,042-763-8000,NA,神奈川県相模原市緑区上九沢127,139.3236426,35.5825009
セブンイレブン相模原大沢店,小売業,コンビニエンスストア,上九沢272-5,042-762-5066,NA,神奈川県相模原市緑区上九沢272-5,139.3296494,35.5783175
（有）えのもと,小売業,"地酒、泡盛・紹興酒の量り売り、城山商工会推奨品の
期間限定「鮎の一夜干し」などを販売しています。",川尻4682,042-782-2907,NA,神奈川県相模原市緑区川尻4682,139.2984453,35.6058454
きまぐれ堂壹番館,飲食業,"自家焙煎珈琲店のカフェ部分が『壹番館』色々なハン
ドメイドのワークショップを開催
保護猫活動支援品の販売が『きまぐれ堂』
同じ店内でスペース分けされています
毎月第一土曜日は保護猫の譲渡会",川尻1611-16,042-782-0415,"コーヒーのおかわりは200円引き
猫好きさんには嬉しいカフェです",神奈川県相模原市緑区川尻1611-16,139.3119736,35.5886506
水道路　千鶴,飲食業,NA,川尻1958-1,042-782-5584,NA,神奈川県相模原市緑区川尻1958-1,139.3093979,35.5926795
セブンイレブン相模原城山川尻店,小売業,近くて便利なコンビニエンスストアです,川尻4030-1,042-782-7672,NA,神奈川県相模原市緑区川尻4030-1,139.2993322,35.6036304
セブンイレブン相模原城山川尻東店,"小売業/飲食業/
サービス業",コンビニエンスストア,川尻1593-1,042-782-0902,NA,神奈川県相模原市緑区川尻1593-1,139.3135537,35.5897181
ローズベリーファーム,飲食業,"キッチンカーで自家栽培ブルーベリーなどを使用して
スムージーの提供をしています。また自家製ジャムな
どの販売もしている農家さんです。",川尻4493-6,042-783-6683,"キッチンカーにてサンキューキャッシュバックキャン
ペーン見ました！と伝えてくれたら５０円引きにしま
す。",神奈川県相模原市緑区川尻4493-6,139.2871375,35.6009988
青葉薬局,小売業,漢方薬局、主に漢方薬や健康食品の販売,久保沢2-1-23,042-782-3088,"ご来店の上、お買い物をして頂いた方に次回以降使
える割引券をプレゼント",神奈川県相模原市緑区久保沢2-1-23,139.3024188,35.5951394
石井珈琲店,小売業/飲食業,自家焙煎珈琲小売り販売、飲食店,久保沢3-3-39,042-815-3141,NA,神奈川県相模原市緑区久保沢3-3-39,139.3024641,35.5936471
伊勢原書店城山店,小売業,"書店 
 書籍販売",久保沢1-4-12,042-752-7017,各種スマホ決済取り扱いあります,神奈川県相模原市緑区久保沢1-4-12,139.302748,35.59652579999999
きくちでんき,"小売業/サービス
業",家電製品販売及び電気工事,久保沢3-7-17,042-782-4111,NA,神奈川県相模原市緑区久保沢3-7-17,139.3010137,35.5924095
久保沢整骨院,その他,接骨業,久保沢2-2-9,042-785-3715,NA,神奈川県相模原市緑区久保沢2-2-9,139.3010556,35.5942849
事業所（店舗等）名,"事業種別
事業内容",NA,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市緑区事業所所在地,139.1828385,35.5781751
（株）生涯スポーツ応援団,小売業,"FIELD GEARオリジナルブランド企画 製造 販売、グ
ラウンドゴルフ用品、ゲートボール用品、パークゴルフ
用品、マレットゴルフ用品、ノルディック・ウォーキン
グ、レクリエーショ用品 販売店です",久保沢1-1-12,042-851-2890,NA,神奈川県相模原市緑区久保沢1-1-12,139.304008,35.5954163
末広精肉店,小売業,精肉、手づくり惣菜販売,久保沢1-1-48,042-782-2174,NA,神奈川県相模原市緑区久保沢1-1-48,139.3041558,35.59567140000001
（有）杉本商店,小売業,"ガソリンスタンド、LPガス、灯油配達、ガスコンロ・ガス
給湯器・石油機器などの器具販売をしています",久保沢2-3-14,042-782-2221,"①キャンペーン期間中、ガソリン20㍑以上給油のお客
様に洗車割引券を配布。 
②ガス・石油機器を３万円以上お買い上げで商品券プ
レゼント。",神奈川県相模原市緑区久保沢2-3-14,139.3005228,35.5943941
セキネクリーニング総合事務所通り店,サービス業,NA,久保沢1-1-41,042-782-8538,城山スタンプ、ペイペイが使えます,神奈川県相模原市緑区久保沢1-1-41,139.3035735,35.595492900000004
関根クリーニング店,サービス業,"しみ抜きや仕上げのみのアイロン掛け、また集配サー
ビスも展開中",久保沢1-1-15,042-782-2600,城山スタンプ、ペイペイが使えます,神奈川県相模原市緑区久保沢1-1-15,139.3038112,35.5951249
浜陣ケータリングサービス,"飲食業/サービス
業",料理やお弁当のケータリング（お届け）販売,久保沢3-9-18,042-783-8080,次回利用の5％割引クーポン配布,神奈川県相模原市緑区久保沢3-9-18,139.3022609,35.5912104
街のケーキ屋さんMeme,小売業,街のケーキ屋さんです,久保沢1-5-1小木ビル102,042-719-1769,NA,神奈川県相模原市緑区久保沢1-5-1小木ビル102,139.3047819,35.5961457
（株）四津屋商店,小売業,"LPガス、灯油、食料品、酒、雑貨小売業 
住宅設備機器、住宅リフォーム工事業",佐野川2418-1,042-687-3382,LPガス機器特価、無料見積り致します。,神奈川県相模原市緑区佐野川2418-1,139.1275341,35.6419028
おだいどこ さくら,小売業,飲食店,澤井199,042-687-5221,NA,神奈川県相模原市緑区澤井199,139.1530153,35.6215825
鈴木商店,小売業,酒類・その他雑貨販売,澤井1040,042-687-2636,NA,神奈川県相模原市緑区澤井1040,139.1491357,35.6289714
Bakerycafe15Mチビクロ,飲食業,カフェ,下九沢1736-3,042-764-4090,NA,神奈川県相模原市緑区下九沢1736-3,139.3375503,35.5760205
eyelashsalon etoile,サービス業,まつげエクステ、まつげパーマの専門店です。,下九沢2028-23,042-774-4733,NA,神奈川県相模原市緑区下九沢2028-23,139.3342167,35.5801851
hair.aKubi,サービス業,カット、カラー、パーマなど全般の美容室,下九沢1998-16,090-9140-4938,ドリンクサービス,神奈川県相模原市緑区下九沢1998-16,139.3332269,35.5804963
Links Hair,サービス業,"下九沢にある完全個室の理美容室です。脱毛やネイ
ルも出来るヘアサロンです。",下九沢540-37,042-785-2538,NA,神奈川県相模原市緑区下九沢540-37,139.3474926,35.569829
アンファンネージュ,小売業/飲食業,洋菓子製造販売,下九沢1744-20,042-763-7345,NA,神奈川県相模原市緑区下九沢1744-20,139.3358348,35.5774118
出光 下九沢SS,小売業,ガソリンスタンド（フルサービスのガソリンスタンドです） 下九沢1283,NA,042-761-6157,"初来店の方には次回使えるℓ3円引きチケット入りポ
ケットティッシュ差し上げます",神奈川県相模原市緑区NA,139.1828385,35.5781751
髪ing727,サービス業,一般理美容,下九沢2510,042-761-4774,"次回使用できる割引券の配布。
相原二本松商店街で使用できるスタンプシート配布。",神奈川県相模原市緑区下九沢2510,139.3207517,35.585236
（有）久保田写真館,サービス業,"写真業
★スタジオ写真
★証明写真
★舞台写真",下九沢1926-11,042-762-0406,"★新規会員申込書（必要書類ご記入の方）は、撮影料
　千円引きといたします。
★2回目以降撮影料半額",神奈川県相模原市緑区下九沢1926-11,139.3322908,35.5795471
（株）クライムカンパニー,その他,"相模原市緑区にあるリフォーム会社です。キッチン・浴
室・トイレなど水廻り全般を特に得意としています。",下九沢1647-2,042-703-3770,"キャンペーン中、10万円(税別)以上の工事ご成約の
方、パネル貼り工事(900ミリX2400ミリ)　1面　色；白　
無料　洗面台横にお勧めです",神奈川県相模原市緑区下九沢1647-2,139.3361306,35.5800404
酒井ピアノ教室,その他,ピアノ個人指導,下九沢267-20,090-9846-4424 体験レッスン　無料,NA,神奈川県相模原市緑区下九沢267-20,139.3535958,35.5660493
相模・下九沢温泉 湯楽の里,"小売業/サービス
業",温浴施設（スーパー銭湯）,下九沢2385-1,042-764-2626,"古き良き木造づくりのレトロな銭湯をイメージしたスー
パー銭湯型温浴施設。清潔・安心・安全をモットーに
癒しのゆったり空間を、気軽に楽しめる価格でご提供
いたします。",神奈川県相模原市緑区下九沢2385-1,139.3276332,35.5838215
酒処　木ノ葉(KONOHA),飲食業,"ルーツがカンボジアにある店主によるエスニック料理
推しの居酒屋。 
ディナー帯は熊本直送馬刺しや鹿児島直送のソー
セージもご案内。 
エスニック料理に関しては、地元のパンや野菜を使
用。移動販売もしてい",下九沢1480-8,042-703-9626,"来店時、ウェルカムドリンク　 
生ビール、サワー、焼酎、ハイボールALL¥半額",神奈川県相模原市緑区下九沢1480-8,139.3370844,35.5753131
スーパー公正屋 下九沢店,小売業,"生鮮食品・一般食品の販売を中心とするスーパー
マーケット",下九沢2121-1,042-703-0321,NA,神奈川県相模原市緑区下九沢2121-1,139.3365895,35.5810048
すずきファクトリー,"サービス業/その
他","カイロプラクティック 
頸椎、肩甲骨、骨盤矯正 
学研教室",下九沢1902-1,042-764-7640,"初回料2000円無料 
回数券初回購入4000円引き",神奈川県相模原市緑区下九沢1902-1,139.3339343,35.5785991
事業所（店舗等）名,"事業種別
事業内容",NA,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市緑区事業所所在地,139.1828385,35.5781751
セブンイレブン相模原あじさい通り店,小売業,近くて便利なコンビニエンスストアです,下九沢1707-1,042-779-7287,NA,神奈川県相模原市緑区下九沢1707-1,139.3370622,35.5809377
セブンイレブン相模原塚場店,小売業,コンビニ,下九沢1285-1,042-761-7715,NA,神奈川県相模原市緑区下九沢1285-1,139.3404922,35.5753046
セブンイレブン相模原中ノ原店,小売業,NA,下九沢1643-1,042-774-0072,NA,神奈川県相模原市緑区下九沢1643-1,139.3411533,35.5791338
セブンイレブン相模原六地蔵店,小売業,近くて便利なコンビニエンスストアです,下九沢1933,042-763-0171,NA,神奈川県相模原市緑区下九沢1933,139.3325074,35.5804997
ちかみち,サービス業,カット専門店,下九沢2540-2,070-8982-0764,"カット1200円(税込)
シニア割引きあり。1000(税込)",神奈川県相模原市緑区下九沢2540-2,139.323496,35.5848007
桃華飯店,飲食業,中華料理を提供しています,下九沢1926,042-761-8028,ランチメニュー あります、ランチ大盛ライス無料,神奈川県相模原市緑区下九沢1926,139.3318296,35.5792039
登臨ゼミナール 大沢校,サービス業,小　中　高生　学習塾,下九沢1929-2,042-762-5054,最長6か月　無料体験,神奈川県相模原市緑区下九沢1929-2,139.3317324,35.5797319
とり道楽下九沢店,飲食業,居酒屋、弁当配売,下九沢2030-3,042-713-3812,NA,神奈川県相模原市緑区下九沢2030-3,139.3351417,35.5801077
有限会社 沼尾硝子,その他,"サッシ・ガラス・エクステリア販売施工 
 住宅資材販売修理",下九沢2596-5,0427-624-465,新しく会社を下九沢に移しました。,神奈川県相模原市緑区下九沢2596-5,139.3248581,35.585911
橋本ゴルフセンター,サービス業,ゴルフ練習場,下九沢1687,042-771-4053,NA,神奈川県相模原市緑区下九沢1687,139.3424839,35.581603
ファミリーマート相模原下九沢店,小売業,コンビニエンスストア,下九沢2917-1,042-764-0650,NA,神奈川県相模原市緑区下九沢2917-1,139.3193077,35.5858592
ムルカスタジオ,サービス業,ペット美容室,下九沢2434,042-761-0120,トリミング後、５０日以内5%off,神奈川県相模原市緑区下九沢2434,139.3263497,35.583905
明月堂,小売業,和菓子製造販売,下九沢1943-7,042-762-4475,NA,神奈川県相模原市緑区下九沢1943-7,139.3316725,35.5811427
洋風居酒屋YOU夢,飲食業,居酒屋,下九沢1913-5,042-761-8686,串揚げや刺身や焼き鳥,神奈川県相模原市緑区下九沢1913-5,139.3332516,35.5790841
